siren,siret,denominationUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,Adresse pr�cise
520483611,52048361100023,,,96.02B,,40,,,,RUE,VICTOR HUGO,33350,CASTILLON-LA-BATAILLE,,,33108,,,,,331080275_B,459512.2660837553,6421829.0063998755,,A,COCOON,,96.02B,40 RUE VICTOR HUGO 33350 CASTILLON-LA-BATAILLE
520497421,52049742100013,,,96.02B,NUMERO 3,458,,,,,LIEU DIT LA LANDE,33880,BAURECH,,,33033,,,,,,,,,A,,,96.02B,NUMERO 3 458 LIEU DIT LA LANDE 33880 BAURECH
520554999,52055499900034,,,96.02B,,24,,,,ROUTE,DE BORDEAUX,33500,ARVEYRES,,,33015,,,,,330150012_B,440533.01,6425919.87,,A,,VAN'ESTHETIQUE,96.02B,24 ROUTE DE BORDEAUX 33500 ARVEYRES
520660267,52066026700045,[ND],[ND],96.02B,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],SAUCATS,,[ND],33501,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],96.02B, SAUCATS
520852419,52085241900016,,,96.02B,,41,,,,RUE,TROUCHE,33780,SOULAC-SUR-MER,,,33514,,,,,335140395_B,378163.41596296994,6498728.963851054,,A,,,96.02B,41 RUE TROUCHE 33780 SOULAC-SUR-MER
520896374,52089637400011,,,96.02B,,173,B,,,ROUTE,DE BORDEAUX,33980,AUDENGE,,,33019,,,,,330190103_B,384075.2198971706,6407247.799809343,,A,,,96.02B,"173, B ROUTE DE BORDEAUX 33980 AUDENGE"
520896374,52089637400029,,,96.02B,,727,,,,ROUTE,DES 3 VILLAGES,33980,AUDENGE,,,33019,,,,,330190461_B,385314.9871665559,6407784.140655832,,A,,,96.02B,727 ROUTE DES 3 VILLAGES 33980 AUDENGE
520950353,52095035300034,[ND],[ND],96.02B,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],EYSINES,,[ND],33162,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],96.02B, EYSINES
521026302,52102630200021,,,96.02B,,17,,,,ROUTE,DE L’ESTUAIRE,33390,ANGLADE,,,33006,,,,,330060130_B,414682.64838139486,6463296.423866422,,A,,PIEL CANELA,96.02B,17 ROUTE DE L’ESTUAIRE 33390 ANGLADE
521159590,52115959000038,,SEVMAG,96.02B,,11,,,,CHEMIN,DE FREDIGNAC,33390,SAINT-MARTIN-LACAUSSADE,,,33441,,,,,334410080_B,413309.3,6454776.62,,A,,UNE DOUCE HEURE,96.02B,11 CHEMIN DE FREDIGNAC 33390 SAINT-MARTIN-LACAUSSADE
521413948,52141394800022,,,96.02B,,16,,,,RUE,DE LA POSTE,33930,VENDAYS-MONTALIVET,,,33540,,,,,335400310_B,382204.5956388011,6481047.997718282,,A,,,96.02B,16 RUE DE LA POSTE 33930 VENDAYS-MONTALIVET
521485409,52148540900010,,,96.02B,RES PARC DE BEATRICE BAT D1 APP 59,18,,,,RUE,DE GUIRAUTON,33700,MERIGNAC,,,33281,,,,,332811248_B,410451.3389339736,6422059.557114759,,A,,,96.02B,RES PARC DE BEATRICE BAT D1 APP 59 18 RUE DE GUIRAUTON 33700 MERIGNAC
