siren,siret,denominationUniteLegale,denominationUsuelle1UniteLegale,activitePrincipaleUniteLegale,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,Adresse précise
880858972,88085897200016,[ND],[ND],56.30Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],THENON,,[ND],24550,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],56.30Z, THENON
881691620,88169162000010,AGNES LESCURE,,56.30Z,,18,,,,AVENUE,DU MARECHAL LECLERC,24100,BERGERAC,,,24037,,,,,24037dy90_B,500712.36541970423,6419208.960761127,,A,LE CAFE RIVE GAUCHE,,56.30Z,18 AVENUE DU MARECHAL LECLERC 24100 BERGERAC
881827893,88182789300010,M.R.P.,,56.30Z,,4,,,,RUE,DE LA CLARTE,24000,PERIGUEUX,,,24322,,,,,243221070_B,521106.1048999756,6456441.127498872,,A,LA CLARTE DU VIN,M R P,56.30Z,4 RUE DE LA CLARTE 24000 PERIGUEUX
883358657,88335865700020,L'ECURIE DES HALLES,,56.30Z,HALLE DU CODERC BOX 1,,,,,PLACE,DU CODERC,24000,PERIGUEUX,,,24322,,,,,243221130_B,521065.40259193064,6456468.301008355,,A,L'ECURIE DES HALLES,,56.30Z,HALLE DU CODERC BOX 1  PLACE DU CODERC 24000 PERIGUEUX
883358657,88335865700038,L'ECURIE DES HALLES,,56.30Z,,110,,,,IMPASSE,DE LA JAUMARIE,24380,VERGT,,,24571,,,,,245710650_B,523184.5576474293,6439020.161727488,,A,,,56.30Z,110 IMPASSE DE LA JAUMARIE 24380 VERGT
883753345,88375334500031,LA FABRIK,,56.30Z,,1,,,,RUE,D'AGUESSEAU,24000,PERIGUEUX,,,24322,,,,,243220060_B,521135.7454112264,6456599.709227017,,A,L'ANNEXE,L'ANNEXE,56.30Z,1 RUE D'AGUESSEAU 24000 PERIGUEUX
884977406,88497740600013,BEAUGEIX,,56.30Z,,16,,,,RUE,VICTOR HUGO,24310,BRANTOME EN PERIGORD,,,24064,,,,,,,,,A,BAR DU MARCHE,BAR DU MARCHE,56.30Z,16 RUE VICTOR HUGO 24310 BRANTOME EN PERIGORD
885191338,88519133800015,PLANCHES ET PLONK,,56.30Z,,34,,,,RUE,JACQUES MANCHOTTE,24170,PAYS DE BELVES,,,24035,,,,,,,,,A,PLANCHES ET PLONK,,56.30Z,34 RUE JACQUES MANCHOTTE 24170 PAYS DE BELVES
888185444,88818544400021,LES TERRASSES DE LA VEZERE,,56.30Z,,2,B,,,PLACE,DE L'HOTEL DE VILLE,24260,LE BUGUE,,,24067,,,,,240670070_B,536399.79,6426471.33,,A,LES TERRASSES DE LA VEZERE,LES TERRASSES DE LA VEZERE,56.30Z,"2, B PLACE DE L'HOTEL DE VILLE 24260 LE BUGUE"
888349214,88834921400013,AN DREZENN,,56.30Z,,15,,,,IMPASSE,DE LA CREMAILLERE,24160,ANLHIAC,,,24009,,,,,240090260_B,553179.7226390955,6470748.616922554,,A,LA CREMAILLERE,,56.30Z,15 IMPASSE DE LA CREMAILLERE 24160 ANLHIAC
888535705,88853570500014,LES CINQ ELEMENTS,,56.30Z,,11,,,,AV,DU 108 EME RI,24100,BERGERAC,,,24037,,,,,240370985_C,,,,A,LE PASSAGE,,56.30Z,11 AV DU 108 EME RI 24100 BERGERAC
888988474,88898847400019,,,56.30Z,,34,,,,ROUTE,DE LIMOGES,24420,ANTONNE-ET-TRIGONANT,,,24011,,,,,240110122_B,529662.3643379244,6459386.73078606,,A,RELAIS 21,,56.30Z,34 ROUTE DE LIMOGES 24420 ANTONNE-ET-TRIGONANT
889228631,88922863100012,SNC YKILYS,,56.30Z,,95,,,,ALLEE,GUILLENAUD,24430,MARSAC-SUR-L'ISLE,,,24256,,,,,24256lyvm_B,516255.84,6456624.55,,A,CORTO CAFE,,56.30Z,95 ALLEE GUILLENAUD 24430 MARSAC-SUR-L'ISLE
