siren,url,site,adress,lat,lon
532091576,,,431 LES CHAUFFOURS 24120 TERRASSON LAVILLEDIEU,45.114372,1.307656
532209921,,,BERGERAC,44.85304,0.482291
532245628,,,RIBERAC,45.239968,0.339832
533421467,,,37 RUE DES SECHOIRS 24370 CARLUX,44.891164,1.353529
533712808,,,ST ETIENNE DE PUYCORBIER,45.092008,0.327105
533928859,,,MOULEYDIER,44.854095,0.607247
534085758,,,7 RUE BERTRAND DU GUESCLIN 24000 PERIGUEUX,45.18341,0.715417
534636519,,,32 RUE DE LA LIBERTE 24400 MUSSIDAN,45.037148,0.36931
534930755,,,LIEU DIT PANASSAC 24420 COULAURES,45.300644,0.976058
534963590,,,LISLE,46.12233,1.653032
538198862,,,JUMILHAC-LE-GRAND,45.500851,1.09062
538726225,,,LE PORT 24220 BEYNAC-ET-CAZENAC,44.839514,1.144616
539099895,,,1484 ROUTE DE LA TOURETTE 24370 SAINT-JULIEN-DE-LAMPON,44.858515,1.383613
750771826,,,ROUTE DES MARROUX 24520 SAINT-NEXANS,44.808497,0.563997
750966434,,,LA CROIX DE JEANGUIS 24210 LIMEYRAT,45.168592,0.973151
751169806,,,LIEU DIT GRAND PEY 24350 MENSIGNAC,45.236087,0.559156
751265182,,,LE TALINOT 24150 VARENNES,44.829604,0.680206
751593492,,,CHEMIN DU PECH HAUT 24150 BADEFOLS-SUR-DORDOGNE,44.836928,0.794407
752892315,,,LA COQUILLE,46.9914,1.188013
752943308,,,285 CHEMIN DE BORD DE COTE 24290 SAINT-LEON-SUR-VEZERE,45.018535,1.089356
753752849,,,LD PECHIBRAL 24200 VITRAC,44.845215,1.237894
788635522,,,8 RUE DU NORD 24700 LE PIZOU,45.024567,0.062033
790302244,,,MARSANEIX  LE POINT DU JOUR 24380 SANILHAC,45.10625,0.779778
790445985,,,CHAMPNIERS-ET-REILHAC,45.671019,0.727153
790727028,,,VERTEILLAC,45.351954,0.372378
790966642,,,LES ANDRIEUX  ROUTE DU PLATEAU 24500 EYMET,44.66823,0.422264
791690555,,,LE CASTENET 24380 SAINT MICHEL DE VILLADEIX,44.992382,0.730783
791912975,,,HOTEL DE PARIS 14 RUE DE PARIS 24260 LE BUGUE,44.919316,0.926741
793187238,,,MARCILLAC-SAINT-QUENTIN,44.947547,1.202544
793262817,,,LE VILLAGE 24250 LA ROQUE-GAGEAC,44.827154,1.179868
793599358,,,MONBAZILLAC,44.794727,0.481555
794011023,,,32 RUE DES VAURES 24100 BERGERAC,44.86077,0.490995
