siren,siret,denominationUniteLegale,denominationUsuelle1UniteLegale,activitePrincipaleUniteLegale,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,Adresse précise
845408715,84540871500025,MJ TOP COIFFURE,,96.02A,,17,,,,AVENUE,GEORGES POMPIDOU,24000,PERIGUEUX,,,24322,,,,,243221775_B,521150.9223839389,6456899.701627104,,A,,,96.02A,17 AVENUE GEORGES POMPIDOU 24000 PERIGUEUX
849161203,84916120300013,CHARLY MOZE,,96.02A,,13,,,,RUE,CONDE,24000,PERIGUEUX,,,24322,,,,,243221190_B,520886.7983385414,6456364.686031712,,A,VEGETALEMENT PROVENCE,,96.02A,13 RUE CONDE 24000 PERIGUEUX
849506068,84950606800022,ANTHEO,,96.02A,,1,,,,PLACE,DE LA REPUBLIQUE,24110,SAINT-ASTIER,,,24372,,,,,243720370_B,505744.327262172,6452602.3448589165,,A,INTERMEDE,SAS ANTHEO,96.02A,1 PLACE DE LA REPUBLIQUE 24110 SAINT-ASTIER
849506068,84950606800030,ANTHEO,,96.02A,CENTRE COMMERCIAL LA FEUILLERAIE,239,,,,AVENUE,DE L'AUTOMOBILE,24750,TRELISSAC,,,24557,,,,,245570019_B,527117.13,6458182.66,,A,THE BARBER COMPANY,SAS ANTHEO,96.02A,CENTRE COMMERCIAL LA FEUILLERAIE 239 AVENUE DE L'AUTOMOBILE 24750 TRELISSAC
849582390,84958239000019,,,96.02A,,3,,,,RUE,PIERRE BEREGOVOY,24330,BOULAZAC ISLE MANOIRE,,,24053,,,,,,,,,A,,LES CISEAUX DE LAETITIA,96.02A,3 RUE PIERRE BEREGOVOY 24330 BOULAZAC ISLE MANOIRE
850528142,85052814200019,LINAO'S,,96.02A,CENTRE COMMERCIAL DE PERIGUEUX BOULAZA,,,,,ALL,JACQUES DUCLOS,24330,BOULAZAC ISLE MANOIRE,,,24053,,,,,,,,,A,DILOY S,,96.02A,CENTRE COMMERCIAL DE PERIGUEUX BOULAZA  ALL JACQUES DUCLOS 24330 BOULAZAC ISLE MANOIRE
850648296,85064829600026,EURL CYRANOT,,96.02A,,15,,,,RUE,BOURBARRAUD,24100,BERGERAC,,,24037,,,,,240370670_B,501197.48373986804,6420248.178107829,,A,DESSANGE PARIS,DESSANGE PARIS,96.02A,15 RUE BOURBARRAUD 24100 BERGERAC
851072447,85107244700010,,,96.02A,,1,,,,RUE,DES FLEURS,24650,CHANCELADE,,,24102,,,,,241020055_B,516626.54,6458623.63,,A,,L OUTIL DE COIFFURE,96.02A,1 RUE DES FLEURS 24650 CHANCELADE
851995779,85199577900010,,,96.02A,,,,,,,LIEU DIT RAVARY,24250,CENAC-ET-SAINT-JULIEN,,,24091,,,,,,,,,A,,MYRIAM COIFFURE,96.02A, LIEU DIT RAVARY 24250 CENAC-ET-SAINT-JULIEN
852239730,85223973000017,,,96.02A,,,,,,,PREYSSAC,24460,CHATEAU-L EVEQUE,,,24115,,,,,24115B148_C,,,,A,,COMME AU SALON,96.02A, PREYSSAC 24460 CHATEAU-L EVEQUE
853075976,85307597600011,,,96.02A,,6,,,,ROUTE,DE COUPE GORGE,24430,COURSAC,,,24139,,,,,241390152_B,514206.59679502324,6448804.565524623,,A,,PRISCILLIA COIFFEUSE A DOMICILE,96.02A,6 ROUTE DE COUPE GORGE 24430 COURSAC
853188399,85318839900028,,,96.02A,,,,,,,LE COLOMBIER,24220,CASTELS ET BEZENAC,,,24087,,,,,,,,,A,,LE PETIT BORDELAIS,96.02A, LE COLOMBIER 24220 CASTELS ET BEZENAC
853219772,85321977200011,,,96.02A,,6,,,,RUE,TAILLEFER,24000,PERIGUEUX,,,24322,,,,,243223960_B,520919.71466790966,6456378.067760492,,A,,L ALCOVE,96.02A,6 RUE TAILLEFER 24000 PERIGUEUX
853359776,85335977600020,,,96.02A,,1946,,,,VOIE,ROMAINE,24100,LEMBRAS,,,24237,,,,,242370048_B,502976.0906222807,6424745.275249419,,A,,,96.02A,1946 VOIE ROMAINE 24100 LEMBRAS
853411163,85341116300019,L ATELIER & CIE,,96.02A,,79,,,,RUE,CLAUDE BERNARD,24000,PERIGUEUX,,,24322,,,,,243221080_B,520125.48285097885,6456055.7429622235,,A,,L ATELIER & CIE,96.02A,79 RUE CLAUDE BERNARD 24000 PERIGUEUX
853434520,85343452000013,,,96.02A,LD PREYSSAC,,,,,RUE,JEAN PUGNET,24460,CHATEAU L'EVEQUE,,,24115,,,,,,,,,A,,,96.02A,LD PREYSSAC  RUE JEAN PUGNET 24460 CHATEAU L'EVEQUE
878161256,87816125600010,LA LOGE,,96.02A,,3,,,,PL,NICOLAS FEYTE,24420,SORGES-ET-LIGUEUX-EN-PERIGORD,,,24540,,,,,,,,,A,LA LOGE,LA LOGE,96.02A,3 PL NICOLAS FEYTE 24420 SORGES-ET-LIGUEUX-EN-PERIGORD
878313386,87831338600012,WIMO COIFFURE,,96.02A,,9,,,,PLACE,MALBEC,24100,BERGERAC,,,24037,,,,,240372280_B,501286.883587847,6420084.417649966,,A,,,96.02A,9 PLACE MALBEC 24100 BERGERAC
878510189,87851018900011,,,96.02A,,22,B,,,AVENUE,DU PERIGORD,24680,GARDONNE,,,24194,,,,,241940043_B,489119.7294872415,6418867.493210631,,A,,MJCOIFFURE,96.02A,"22, B AVENUE DU PERIGORD 24680 GARDONNE"
879322667,87932266700038,,,96.02A,,375,,,,RTE,DES BOIS,24330,BASSILLAC ET AUBEROCHE,,,24026,,,,,,,,,A,HAIR' AUTHENTIK,JOLLY,96.02A,375 RTE DES BOIS 24330 BASSILLAC ET AUBEROCHE
880403175,88040317500016,,,96.02A,LE SOU SUD,34,,,,IMPASSE,DU TERTRE,24380,EGLISE-NEUVE-DE-VERGT,,,24160,,,,,241600405_B,520682.1756317745,6445591.185126606,,A,,COUP DE CISEAU BY NATHALIE,96.02A,LE SOU SUD 34 IMPASSE DU TERTRE 24380 EGLISE-NEUVE-DE-VERGT
880477211,88047721100028,MED COIFFURE,,96.02A,,21,,,,COURS,FENELON,24000,PERIGUEUX,,,24322,,,,,243221520_B,521003.6390264698,6456201.429676943,,A,,,96.02A,21 COURS FENELON 24000 PERIGUEUX
880614722,88061472200010,,,96.02A,,940,,,,ROUTE,DU CROS DE LIBOURNE,24520,SAINT-GERMAIN-ET-MONS,,,24419,,,,,244190027_B,510646.3290396475,6419279.914375729,,A,,MARINA COIFFEUSE A DOMICILE,96.02A,940 ROUTE DU CROS DE LIBOURNE 24520 SAINT-GERMAIN-ET-MONS
880885892,88088589200013,FRANSTYLE SERVICES,,96.02A,,10,,,,RUE,PIERRE ROSSIGNOL,24200,SARLAT-LA-CANEDA,,,24520,,,,,245201880_B,559199.6916877348,6422056.89378817,,A,FRANSTYLE SERVICES,FRANSTYLE SERVICES,96.02A,10 RUE PIERRE ROSSIGNOL 24200 SARLAT-LA-CANEDA
